idx,question,pred,gold,score,em,rouge1,categories,use_cot,cot_type
57,在文件中第27页的图中，编号51的部件相对于编号50的部件的位置关系是？,位于下方,位于编号50的部件的右下方,0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '指定页面']",False,unknown
58,根据文件中第27页的示意图，如果卧式反应槽6出现故障，导致反应中断，从流程上看，最有可能受到直接影响的下一个部件是什么？,部件7,立式反应槽7,0.16666666666666666,0.0,0.2222222222222222,"['部件识别', '指定页面']",False,unknown
59,在文件中第27页的示意图中，如果立式反应槽7需要进行氮气净化，那么氮气是从哪个编号的阀门进入的？,31,31,1.0,1.0,1.0,['指定页面'],False,unknown
60,根据专利文本，现有技术中热能回收交换机采用分体式安装的主要缺点是什么？,热能损耗大，节能效果差，且管道线缆使用多，生产成本高,换热器与循环水箱距离远，带来热能损耗和材料浪费,0.15306122448979592,0.0,0.20408163265306123,"['部件识别', '连接关系']",False,unknown
61,根据文件中第5页的图片，编号为10的部件是什么？,搅拌器,进水管,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
62,根据文件中第5页的图片，哪个部件通过水管连接储水箱（1）？,部件(2),抽水泵（8）,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
63,根据文件中第5页的示意图，如果加压水泵（11）出现故障，最有可能直接影响哪个部件的运行？,加压水泵(11),循环水箱（3）,0.1,0.0,0.13333333333333333,"['部件识别', '指定页面']",False,unknown
64,根据文件中第5页的示意图，哪个部件直接连接空压机（7）？,部件6,换热器（5）,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
65,根据文本信息，本发明旨在解决什么问题？,解决分段电机的结构高度问题,如何降低分段电机在有轨车辆车轮加工中的磨损。,0.21428571428571427,0.0,0.2857142857142857,['其他'],False,unknown
66,根据专利文本，调节组件的主要功能是什么？,调节固定座和移动座之间的距离,调节固定座和移动座之间的距离,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
67,根据专利文本，喷射头内，哪个腔室后部的直径逐渐缩小？,第一混合腔,第一混合腔,1.0,1.0,1.0,['其他'],False,unknown
68,在文件中第5页的示意图中，编号115的部件是什么？,第一级喷嘴,黑料进料口,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
69,在文件中第5页的示意图中，编号112的部件相对于编号111的部件的位置是什么？,位于右侧,位于编号111的部件的右侧,0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '部件识别', '指定页面']",False,unknown
70,在文件中第5页的示意图中，黑料储罐（编号2）与混料管（编号1）之间连接了哪些部件?,阀门(5)和管道(11),黑料高压泵和黑料质量流量计,0.06,0.0,0.08,"['位置关系', '连接关系', '指定页面']",False,unknown
71,在文件中第5页的示意图中，上喷射通道（编号17）和下喷射通道（编号18）汇入的腔室是哪个?,腔室111,第二混合腔(编号14),0.18750000000000006,0.0,0.25000000000000006,['指定页面'],False,unknown
72,根据专利文本，本实用新型中，哪个部件的运动可以驱动连杆转动，从而带动夹杆运动？,电动伸缩杆,电动伸缩杆,1.0,1.0,1.0,['部件识别'],False,unknown
73,根据专利文本，本实用新型的便携式永磁座磁力钻的优点是什么？,重量轻，体积小，滑动行程长，设有照明装置,增加照明装置，良好的光线确保产品加工中少出差错。,0.17045454545454544,0.0,0.22727272727272727,['部件识别'],False,unknown
74,在文件中第5页的图中，编号为6的部件是什么？,转轴,滑道装置,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
75,在文件中第5页的图中，哪个编号指向了电源/故障指示灯？,12,13,0.375,0.0,0.5,['指定页面'],False,unknown
76,根据文件中第5页图示，操作手柄（7-5，图中显示为7）的转动会直接影响哪个部件的运动？,部件(6),钻头夹具(2),0.25,0.0,0.3333333333333333,"['部件识别', '指定页面']",False,unknown
77,根据文件中第5页图示，启/停/复位按钮（9）和调速电位器（10）都位于哪个部件上？,控制面板(13),主控箱(8),0.3214285714285714,0.0,0.42857142857142855,"['部件识别', '指定页面']",False,unknown
78,根据文本信息，燃烧壁炉设备中哪个部件用于积攒燃烧所产生的灰烬？,蓄灰腔,蓄灰腔,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
79,观察文件中第9页的图片，编号为39的部件相对于编号为44的部件的位置关系是什么？,位于上方,在上方,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown
80,观察文件中第9页的图片，编号为21的部件相对于编号为28的部件的位置关系是什么？,在上方,在上方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
81,观察文件中第9页的图片，如果秸秆通过输送机构进入活动腔，并经过切割装置处理，切割后的秸秆接下来会进入哪个部件？,部件30,燃烧腔22,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
82,观察文件中第9页的图片，如果燃烧腔的盖板（67）处于打开状态，那么转动销（26）与哪个部件脱离？,燃烧腔的盖板(24),卡紧槽25,0.1,0.0,0.13333333333333333,"['部件识别', '指定页面']",False,unknown
83,根据专利文本，哪个部件用于检测气体是否泄露？,压力传感器,压力传感器,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
84,根据专利文本，哪个部件能够帮助出气管一和出气管二之间连接？,固定管,固定管,1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",False,unknown
85,在文件中第6页的示意图中，部件11相对于部件1的位置是什么方向？,位于上方,右上方,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown
86,在文件中第6页的示意图中，部件13相对于部件12的位置是什么？,位于部件12的左侧,在部件12上,0.4,0.0,0.5333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown
87,在文件中第6页的示意图中，如果气泵（2）将蒸汽锅炉（1）内的气体抽出，下一个经过的部件是什么？,部件3,出气管一（3）,0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown
88,在文件中第6页的示意图中，位于暖气片（11）和蒸汽锅炉（1）之间的管路上的部件是什么？,阀门(6),进气管（12）,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
89,根据专利文本，中段钢结构外壳的框架是什么形状的？,拱形,拱形,1.0,1.0,1.0,['部件识别'],False,unknown
90,在文件中第5页提供的图片中，编号为2的部件是什么？,支撑板,角钢,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
91,在文件中第5页提供的图片中，编号为5的部件是什么？,固定板,连接法兰,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
92,在文件中第5页提供的图片中，环形肋(7)和哪个部件相邻？,部件4,加强筋(4),0.16666666666666666,0.0,0.2222222222222222,"['部件识别', '指定页面']",False,unknown
93,在文件中第5页的图片中，如果需要增加底板的强度，可以在底板上安装哪个部件？,加强筋,加强筋(4),0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown
94,根据文本信息，哪个部件便于观察第一固定板和第二固定板的高度是否一致，从而使管道的对齐更加准确？,卡块,卡块(6)和卡槽(21),0.21428571428571427,0.0,0.2857142857142857,"['部件识别', '连接关系']",False,unknown
95,根据文本，设备配方库主要用于存储什么类型的数据？,设备的配方数据,所有设备的配方，包括运行参数的差异副本,0.34615384615384615,0.0,0.46153846153846156,['功能作用'],False,unknown
96,根据文件中第12页图示，如果“完成遍历”的判断结果为“否”，则下一步操作是什么？,读取第N个配方,读取第N个配方,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown
97,根据文件中第12页图示，在“是否为Raw配方？”判断框的下方，流程紧接着走向哪个步骤？,与设备配方库比对,与设备配方库比对,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown
98,根据文件中第12页图示，若一个配方不是全新配方，且不是Raw配方，接下来会怎么样？,与设备配方库比对,会返回遍历配方,0.2,0.0,0.26666666666666666,['指定页面'],False,unknown
99,根据文件中第12页图示，如果在与设备配方库比对后，判断为新配方，接下来的两个步骤是什么？,保存到设备配方库，与基本配方库比对,保存到设备配方库，与基本配方库比对,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown
100,根据专利文本，螺旋盘管加工装置适用于哪种材质的螺旋盘管制作？,低碳碳素钢或低碳合金钢,低碳碳素钢或低碳合金钢,1.0,1.0,1.0,['功能作用'],False,unknown
101,根据专利文本，智能制造系统仓储货架的登高组件的作用是什么？,带动工作人员登高取放货物,快速便捷地带动工作人员登高以取放该仓储货架高处的产品货物,0.44999999999999996,0.0,0.6,"['部件识别', '功能作用']",False,unknown
102,根据专利文本，本实用新型的移动平台车可以实现高精度定位，定位误差小于多少？,1mm,1mm,1.0,1.0,1.0,['数量相关'],False,unknown
103,根据专利文本，该焊接设备的主要功能是什么？,实现焊接工作一体化并创造良好工作环境,净化焊接过程中产生的烟气,0.15000000000000002,0.0,0.2,"['部件识别', '功能作用']",False,unknown
104,根据专利文本，哪个部件用于筛分烟气中的含铁物质？,磁选机,磁选机,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
105,观察文件中第6页的图片，编号为301的吸气管相对于编号为3的吸尘器的位置关系是？,位于吸尘器的左侧,位于吸尘器的左侧,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
106,观察文件中第6页的图片，编号为102的刹车脚轮位于哪个部件的下方？,车体,千斤顶,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
107,在文件中第6页的示意图中，水泵（401）抽取储水箱（4）中的水后，水的下一个流向是哪里？,喷淋管(501),喷头（402）,0.2,0.0,0.26666666666666666,"['位置关系', '指定页面']",False,unknown
108,根据文件中第6页的示意图，烟气在经过抽拉式过滤网（7）后，下一个处理环节是什么？,经过加热管（8）,被抽拉式活性炭吸附板（8）吸附,0.19565217391304351,0.0,0.26086956521739135,"['部件识别', '指定页面']",False,unknown
109,根据专利描述，如果需要改变托举板的运动速度，应该如何操作？,调节电动机的转速,转动第二蜗杆。,0.2,0.0,0.26666666666666666,['其他'],False,unknown
110,在文件中第6页的示意图中，编号为6的部件（齿条）相对于编号为8的部件（第二蜗轮）的位置关系是？,位于第二蜗轮的上方,位于上方,0.46153846153846145,0.0,0.6153846153846153,"['位置关系', '部件识别', '指定页面']",False,unknown
111,观察文件中第6页的示意图，编号为6的部件（齿条）和编号为8的部件（第二蜗轮）之间夹的是哪个部件？,部件7,部件7（第二蜗杆）,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown
112,基于文件中第6页的示意图，如果部件12（限位板）向上移动，最有可能直接影响哪个部件的运动？,部件3（传动带）,部件4（第一蜗轮）,0.3529411764705882,0.0,0.47058823529411764,"['部件识别', '指定页面']",False,unknown
113,观察文件中第6页的示意图，如果部件5（第一蜗杆）发生旋转，会依次通过哪些部件最终影响部件2（托举板）的运动？,部件5→部件6→部件7→部件8→部件9→部件10→部件11→部件12→部件2,部件5（第一蜗杆） -> 部件4（第一蜗轮） -> 部件3（移动体） -> 部件2（托举板）,0.19230769230769235,0.0,0.25641025641025644,['指定页面'],False,unknown
114,根据专利文本，本发明相比现有技术的优点是什么？,提高保温板侧封纸带步骤的效率和质量,侧纸传送过程中预先折叠成型，使侧纸能够与保温板紧密贴合，提高保温板侧封纸带步骤的效率和质量。,0.40476190476190477,0.0,0.5396825396825397,['部件识别'],False,unknown
115,根据专利文本，哪个组件负责将胶液均匀地涂抹在汽车配件的表面上？,出胶组件,涂胶组件(14),0.375,0.0,0.5,['其他'],False,unknown
116,在文件中第6页的图中，编号为8的部件相对于编号为7的部件的位置关系是？,位于上方,连接在其一端,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
117,在文件中第6页的图中，编号为51的部件相对于编号为52的部件的位置关系是？,位于上方,环绕,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
118,观察文件中第6页的图片，如果汽车配件位于传送带上并向U型框(12)方向移动，那么首先接触到的部件是什么？,部件(10),推板(8),0.2727272727272727,0.0,0.3636363636363636,"['部件识别', '连接关系', '指定页面']",False,unknown
119,根据文本信息，该油漆自动填充系统解决了什么问题？,解决现有技术中不具有自动添加功能的问题,解决了现有填充系统不具有自动添加功能，需要人力添加的问题,0.5106382978723404,0.0,0.6808510638297872,['其他'],False,unknown
120,在文件中第6页的系统原理图中，报警模块位于哪个单元中？,填充单元,填充单元,1.0,1.0,1.0,"['工作原理', '指定页面']",False,unknown
121,在文件中第6页的系统原理图中，哪个模块直接连接到中央处理器？,第一无线发送模块、显示模块、储存模块,储存模块,0.2727272727272727,0.0,0.3636363636363636,"['连接关系', '工作原理', '指定页面']",False,unknown
122,根据文件中第6页的系统原理图，第一按键和第二按键发出的信号最终传递到哪个部件以实现控制功能？,中央处理器,中央处理器,1.0,1.0,1.0,"['部件识别', '功能作用', '工作原理', '指定页面']",False,unknown
123,根据专利文本，如果电控柜在进水电磁阀打开的情况下，10秒内未接收到进水信号，会发生什么情况？,自动关闭进水电磁阀,电控柜的PLC系统会做出断水报警提示，并且停止配药工作,0.08333333333333333,0.0,0.1111111111111111,['其他'],False,unknown
124,根据专利文本，为了防止柱体在衬套的孔中转动，柱体和衬套会采用什么设计？,凸缘与凹槽配合,采用互补的对接部,0.0,0.0,0.0,['功能作用'],False,unknown
125,在文件中第6页的图中，部件8（椭圆孔）位于哪个部件的正上方？,部件5,部件1（固定座）,0.2727272727272727,0.0,0.36363636363636365,"['位置关系', '部件识别', '指定页面']",False,unknown
126,在文件中第6页的图中，部件7（限位架）位于哪个部件的侧面？,部件2,部件2（保温砖本体）,0.34615384615384615,0.0,0.4615384615384615,"['部件识别', '指定页面']",False,unknown
127,根据文件中第6页的示意图，如果需要将两块保温砖上下固定，部件3（定位块）需要与哪个部件配合？,部件19,部件7（限位架）和部件6（限位槽）,0.14285714285714285,0.0,0.19047619047619047,"['部件识别', '连接关系', '指定页面']",False,unknown
128,根据专利文本，该系统处理的两种主要水类型是什么？,印刷厂水箱水和CTP冲版水,水箱水和CTP冲版水,0.6521739130434783,0.0,0.8695652173913044,['部件识别'],False,unknown
129,根据专利文本，RO反渗透设备的主要作用是什么？,对电催化设备处理后的污水进行反渗透处理,去除水中的工业污染物、重金属、细菌、病毒等杂质,0.10714285714285715,0.0,0.14285714285714288,"['部件识别', '功能作用']",False,unknown
130,根据文件中第10页图示，电絮凝设备的前一个设备是什么？,第一过滤设备,第一过滤设备,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown
131,在文件中第10页的示意图中，哪个设备位于RO反渗透设备的上方？,电催化设备,电催化设备,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown
132,在文件中第10页的示意图中，水箱水和CTP冲版水进入絮凝反应池前，需要加入什么？,絮凝剂,絮凝剂,1.0,1.0,1.0,['指定页面'],False,unknown
133,如果第二过滤设备出现故障，按照文件中第10页图示，哪个设备会受到直接影响？,电催化设备,电催化设备,1.0,1.0,1.0,['指定页面'],False,unknown
134,根据专利文本，该中频感应电炉线圈放置底座的主要目的是什么？,解决感应线圈支撑垫板的支撑稳定性不佳和通用性不佳的问题,解决感应线圈支撑稳定性不佳及通用性差的问题,0.59375,0.0,0.7916666666666667,"['部件识别', '功能作用']",False,unknown
135,在文件中第6页提供的图片中，编号为12的部件相对于感应线圈的位置关系是？,位于感应线圈的下方,位于感应线圈下方并支撑,0.6,0.0,0.7999999999999999,"['位置关系', '部件识别', '指定页面']",False,unknown
136,在文件中第6页提供的图片中，编号为10的部件位于哪个最接近部件的正下方？,部件11,连接竖板,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
137,在文件中第6页的图片中，如果需要调节感应线圈(1)的高度，可能需要调整哪个部件的相对位置？,支撑板(3)和底座(10),长螺杆(6)和锁紧螺母(8),0.2777777777777778,0.0,0.3703703703703704,"['位置关系', '部件识别', '指定页面']",False,unknown
138,观察文件中第6页的图片，如果需要增强底座的减震效果，最直接的方式是改进哪个部件？,部件4和部件6,改进缓冲弹簧(5)的性能,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
