idx,question_普通模型,pred_普通模型,gold_普通模型,score_普通模型,em_普通模型,rouge1_普通模型,categories_普通模型,use_cot_普通模型,cot_type_普通模型,question_COT模型,pred_COT模型,gold_COT模型,score_COT模型,em_COT模型,rouge1_COT模型,categories_COT模型,use_cot_COT模型,cot_type_COT模型,score_diff
37,根据文件中第6页的图片，U型卡座(4)相对于顶板(1.1)的位置关系是什么？,U型卡座(4)位于顶板(1.1)的侧边,U型卡座(4)套接在顶板(1.1)侧边,0.631578947368421,0.0,0.8421052631578947,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第6页的图片，U型卡座(4)相对于顶板(1.1)的位置关系是什么？,U型卡座(4)位于顶板(1.1)的侧边,U型卡座(4)套接在顶板(1.1)侧边,0.631578947368421,0.0,0.8421052631578947,"['位置关系', '部件识别', '指定页面']",True,position,0.0
38,根据文件中第6页图片，连接杆(3)与底板(1.2)是如何连接的？,螺栓(5),连接杆(3)通过螺钉与底板(1.2)固定连接,0.16666666666666663,0.0,0.22222222222222218,"['连接关系', '指定页面']",False,unknown,根据文件中第6页图片，连接杆(3)与底板(1.2)是如何连接的？,螺栓(5),连接杆(3)通过螺钉与底板(1.2)固定连接,0.16666666666666663,0.0,0.22222222222222218,"['连接关系', '指定页面']",False,other,0.0
39,根据文件中第6页的图片，如果需要将爬梯组件折叠收起，首先需要操作哪个部件以释放连接套筒？,调节滑块,滑块(7)（图中未标注，但文本中有提及),0.125,0.0,0.16666666666666669,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第6页的图片，如果需要将爬梯组件折叠收起，首先需要操作哪个部件以释放连接套筒？,部件2.3,滑块(7)（图中未标注，但文本中有提及),0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",True,identification,0.125
40,根据文本信息，该低烧损双室熔化炉脱硫脱硝装置的主要目的是什么？,解决颗粒物堵塞过滤装置的问题,解决烟气中颗粒物质堵塞过滤装置的问题,0.6562500000000001,0.0,0.8750000000000001,"['部件识别', '功能作用']",False,unknown,根据文本信息，该低烧损双室熔化炉脱硫脱硝装置的主要目的是什么？,提供一种低烧损双室熔化炉脱硫脱硝装置,解决烟气中颗粒物质堵塞过滤装置的问题,0.08333333333333333,0.0,0.1111111111111111,"['部件识别', '功能作用']",True,identification,0.5729166666666667
41,在文件中第6页的图中，编号为23的部件相对于净化箱(3)的位置是：,位于净化箱(3)的右侧,位于净化箱(3)的右侧,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的图中，编号为23的部件相对于净化箱(3)的位置是：,位于净化箱(3)的右侧,位于净化箱(3)的右侧,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
42,在文件中第6页的图中，通风口(17)相对于通风管(16)的位置是：,位于通风管(16)的上方,位于通风管(16)的上方,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown,在文件中第6页的图中，通风口(17)相对于通风管(16)的位置是：,通风口(17)位于通风管(16)的上方,位于通风管(16)的上方,0.5806451612903225,0.0,0.7741935483870968,"['位置关系', '指定页面']",True,position,0.4193548387096775
43,观察文件中第6页的示意图，烟气从熔化炉本体(1)排出后，最先经过哪个部件？,烟气净化装置(2),吸尘管(6),0.2,0.0,0.26666666666666666,"['部件识别', '指定页面']",False,unknown,观察文件中第6页的示意图，烟气从熔化炉本体(1)排出后，最先经过哪个部件？,部件(2),吸尘管(6),0.2727272727272727,0.0,0.3636363636363636,"['部件识别', '指定页面']",True,identification,-0.0727272727272727
44,根据文件中第6页的示意图，储液箱(18)通过哪个部件直接连接到净化箱(3)的内部？,水泵(19),输送管(20),0.23076923076923073,0.0,0.30769230769230765,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第6页的示意图，储液箱(18)通过哪个部件直接连接到净化箱(3)的内部？,储液箱(18)位于净化箱(3)的上方,输送管(20),0.12,0.0,0.16,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.11076923076923073
45,根据专利文本，本发明旨在解决什么技术问题？,提供一种水帘式手动喷房,有效分离漆雾，保障操作人员健康,0.0,0.0,0.0,['其他'],False,unknown,根据专利文本，本发明旨在解决什么技术问题？,提供一种水帘式手动喷房,有效分离漆雾，保障操作人员健康,0.0,0.0,0.0,['其他'],False,other,0.0
46,根据文件中第6页的图片，哪个部件位于喷房主体(1)的最底部？,可调地脚(9),可调地脚(9),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第6页的图片，哪个部件位于喷房主体(1)的最底部？,部件9位于部件8的下方,可调地脚(9),0.08333333333333333,0.0,0.1111111111111111,"['位置关系', '部件识别', '指定页面']",True,position,0.9166666666666666
47,根据文件中第6页的图片，集气罩(5)位于哪个部件的正下方？,离心风机(6),离心风机(6),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第6页的图片，集气罩(5)位于哪个部件的正下方？,离心风机(6),离心风机(6),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
48,根据文件中第6页的示意图，如果水从溢水槽(4)流出，经过水帘挡板，最终会流向哪里？,水池(1),喷房主体底部的水池,0.21428571428571427,0.0,0.2857142857142857,"['位置关系', '指定页面']",False,unknown,根据文件中第6页的示意图，如果水从溢水槽(4)流出，经过水帘挡板，最终会流向哪里？,水池(1),喷房主体底部的水池,0.21428571428571427,0.0,0.2857142857142857,"['位置关系', '指定页面']",True,position,0.0
49,根据文件中第6页的示意图，如果要调节喷房的高度，应该操作哪个部件？,部件9,可调地脚(9),0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown,根据文件中第6页的示意图，如果要调节喷房的高度，应该操作哪个部件？,部件9,可调地脚(9),0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",True,identification,0.0
50,根据文本信息，转炉副枪探头泥头组装装置中，哪个部件是用来控制汽缸活塞上下运动的？,脚踩阀,脚踩阀,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown,根据文本信息，转炉副枪探头泥头组装装置中，哪个部件是用来控制汽缸活塞上下运动的？,脚踩阀,脚踩阀,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,0.0
51,观察文件中第6页的图片，气压表相对于散热器的位置是什么？,气压表位于散热器的右侧,位于散热器的右侧,0.6315789473684211,0.0,0.8421052631578948,"['位置关系', '部件识别', '指定页面']",False,unknown,观察文件中第6页的图片，气压表相对于散热器的位置是什么？,气压表位于散热器的右下方,位于散热器的右侧,0.525,0.0,0.7000000000000001,"['位置关系', '部件识别', '指定页面']",True,position,0.1065789473684211
52,观察文件中第6页的图片，如果需要启动该气泵，首先需要操作哪个部件？操作后需要观察哪个部件？,电机,首先操作开关，然后观察气压表。,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,观察文件中第6页的图片，如果需要启动该气泵，首先需要操作哪个部件？操作后需要观察哪个部件？,电机,首先操作开关，然后观察气压表。,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.0
53,观察文件中第6页的图片，如果需要搬运气泵，手握哪个部件最方便？,气泵的顶部,气泵手柄,0.33333333333333337,0.0,0.4444444444444445,"['部件识别', '指定页面']",False,unknown,观察文件中第6页的图片，如果需要搬运气泵，手握哪个部件最方便？,定位杆,气泵手柄,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.33333333333333337
54,根据文本信息，聚乳酸的原料是什么？,丙交酯,缩合乳酸,0.0,0.0,0.0,['部件识别'],False,unknown,根据文本信息，聚乳酸的原料是什么？,丙交酯,缩合乳酸,0.0,0.0,0.0,['部件识别'],True,identification,0.0
55,根据文本信息，卧式反应槽中的堰的作用是什么？,阻止反应液从供给口向排出口快速流动,阻止反应液从供给口向排出口快速流动,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown,根据文本信息，卧式反应槽中的堰的作用是什么？,阻止反应液从供给口向排出口快速流动,阻止反应液从供给口向排出口快速流动,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,0.0
56,在文件中第27页的图中，编号7的部件相对于编号6的部件的位置关系是？,在编号6的部件的右侧,位于编号6的部件的右侧,0.6428571428571429,0.0,0.8571428571428572,"['位置关系', '指定页面']",False,unknown,在文件中第27页的图中，编号7的部件相对于编号6的部件的位置关系是？,部件7在部件6的右侧,位于编号6的部件的右侧,0.4285714285714285,0.0,0.5714285714285713,"['位置关系', '指定页面']",True,position,0.2142857142857144
57,在文件中第27页的图中，编号51的部件相对于编号50的部件的位置关系是？,位于下方,位于编号50的部件的右下方,0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '指定页面']",False,unknown,在文件中第27页的图中，编号51的部件相对于编号50的部件的位置关系是？,位于部件50的下方,位于编号50的部件的右下方,0.6136363636363635,0.0,0.8181818181818181,"['位置关系', '指定页面']",True,position,-0.26069518716577533
58,根据文件中第27页的示意图，如果卧式反应槽6出现故障，导致反应中断，从流程上看，最有可能受到直接影响的下一个部件是什么？,立式反应槽7,立式反应槽7,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,根据文件中第27页的示意图，如果卧式反应槽6出现故障，导致反应中断，从流程上看，最有可能受到直接影响的下一个部件是什么？,立式反应槽7,立式反应槽7,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
59,在文件中第27页的示意图中，如果立式反应槽7需要进行氮气净化，那么氮气是从哪个编号的阀门进入的？,31,31,1.0,1.0,1.0,['指定页面'],False,unknown,在文件中第27页的示意图中，如果立式反应槽7需要进行氮气净化，那么氮气是从哪个编号的阀门进入的？,31,31,1.0,1.0,1.0,['指定页面'],False,other,0.0
60,根据专利文本，现有技术中热能回收交换机采用分体式安装的主要缺点是什么？,换热器与循环水箱距离远,换热器与循环水箱距离远，带来热能损耗和材料浪费,0.4852941176470589,0.0,0.6470588235294118,"['部件识别', '连接关系']",False,unknown,根据专利文本，现有技术中热能回收交换机采用分体式安装的主要缺点是什么？,换热器与循环水箱距离远,换热器与循环水箱距离远，带来热能损耗和材料浪费,0.4852941176470589,0.0,0.6470588235294118,"['部件识别', '连接关系']",True,identification,0.0
61,根据文件中第5页的图片，编号为10的部件是什么？,进水管,进水管,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,根据文件中第5页的图片，编号为10的部件是什么？,进水管,进水管,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
62,根据文件中第5页的图片，哪个部件通过水管连接储水箱（1）？,部件(2),抽水泵（8）,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第5页的图片，哪个部件通过水管连接储水箱（1）？,水泵,抽水泵（8）,0.375,0.0,0.5,"['部件识别', '连接关系', '指定页面']",True,identification,-0.375
63,根据文件中第5页的示意图，如果加压水泵（11）出现故障，最有可能直接影响哪个部件的运行？,循环水箱(3),循环水箱（3）,0.7857142857142857,1.0,0.7142857142857143,"['部件识别', '指定页面']",False,unknown,根据文件中第5页的示意图，如果加压水泵（11）出现故障，最有可能直接影响哪个部件的运行？,循环水箱,循环水箱（3）,0.5454545454545454,0.0,0.7272727272727273,"['部件识别', '指定页面']",True,identification,0.24025974025974028
64,根据文件中第5页的示意图，哪个部件直接连接空压机（7）？,部件6,换热器（5）,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第5页的示意图，哪个部件直接连接空压机（7）？,空压机(7),换热器（5）,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
65,根据文本信息，本发明旨在解决什么问题？,解决分段电机的装配困难问题,如何降低分段电机在有轨车辆车轮加工中的磨损。,0.21428571428571427,0.0,0.2857142857142857,['其他'],False,unknown,根据文本信息，本发明旨在解决什么问题？,解决分段电机的装配困难问题,如何降低分段电机在有轨车辆车轮加工中的磨损。,0.21428571428571427,0.0,0.2857142857142857,['其他'],False,other,0.0
